Liczba;Czas
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;15
31;0
32;16
33;15
34;32
35;53
36;69
37;135
38;197
39;332
40;530
41;845
42;1371
43;2237
44;2998
45;3486
46;5617
47;9191
48;14829
49;24000
50;38785
51;62912
52;101639
